Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
NA,NA,2015,NA,NA,NA,39.95830665,-121.1586902,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1586902, 39.95830665)"
NA,NA,2015,NA,NA,NA,40.20062903,-120.6366832,180201,18020122,1802012203,NA,East Branch North Fork Feather,NA,"c(-120.6366832, 40.20062903)"
NA,NA,2015,NA,NA,NA,40.19667354,-120.6326739,180201,18020122,1802012203,NA,East Branch North Fork Feather,NA,"c(-120.6326739, 40.19667354)"
NA,NA,2015,NA,NA,NA,39.94114143,-121.1426947,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1426947, 39.94114143)"
NA,NA,2015,NA,NA,NA,39.68669611,-120.9576808,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-120.9576808, 39.68669611)"
NA,NA,2015,NA,NA,NA,39.79032371,-120.9832626,180201,18020123,1802012305,NA,Middle Fork Feather,NA,"c(-120.9832626, 39.79032371)"
NA,NA,2015,NA,NA,NA,39.64418787,-120.9903711,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-120.9903711, 39.64418787)"
NA,NA,2015,NA,NA,NA,39.68539541,-120.9449323,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-120.9449323, 39.68539541)"
NA,NA,2015,NA,NA,NA,39.68912801,-120.9388908,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-120.9388908, 39.68912801)"
NA,NA,2015,NA,NA,NA,39.63560483,-121.0393371,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-121.0393371, 39.63560483)"
NA,NA,2015,NA,NA,NA,39.63413841,-121.039996,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-121.039996, 39.63413841)"
NA,NA,2015,NA,NA,NA,39.63763447,-121.0389535,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-121.0389535, 39.63763447)"
NA,NA,2015,NA,NA,NA,39.95944467,-121.1569446,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1569446, 39.95944467)"
NA,NA,2015,NA,NA,NA,39.69212617,-120.9399001,180201,18020125,1802012504,NA,Upper Yuba,NA,"c(-120.9399001, 39.69212617)"
NA,NA,2016,NA,NA,NA,39.96134371,-121.0821008,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0821008, 39.96134371)"
NA,NA,2016,NA,NA,NA,39.95226011,-121.0372873,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0372873, 39.95226011)"
NA,NA,2016,NA,NA,NA,39.95458758,-121.0886812,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0886812, 39.95458758)"
NA,NA,2016,NA,NA,NA,39.9508959,-121.1163155,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1163155, 39.9508959)"
NA,NA,2016,NA,NA,NA,39.95456842,-121.0886115,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0886115, 39.95456842)"
NA,NA,2016,NA,NA,NA,39.94717078,-121.0177452,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0177452, 39.94717078)"
NA,NA,2016,NA,NA,NA,39.95457118,-121.0893255,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0893255, 39.95457118)"
NA,NA,2016,NA,NA,NA,39.94768023,-121.0175081,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0175081, 39.94768023)"
NA,NA,2016,NA,NA,NA,39.96070889,-121.0894824,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0894824, 39.96070889)"
NA,NA,2016,NA,NA,NA,39.96737825,-121.0852807,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0852807, 39.96737825)"
